enviro,observer,task,ori,n_runs,threshold,t_sem,slope,s_sem
web,p14,spatial,minus45,5,8.3491,0.3259,3.2385,0.2939
web,p14,spatial,plus45,5,8.5186,0.3416,3.2849,0.308
web,p15,temporal,horizontal,5,0.9513,0.0583,0.4634,0.0536
web,p15,temporal,vertical,5,1.6947,0.0847,0.8637,0.0827
web,p15,temporal,minus45,5,12.9718,0.4714,5.4408,0.4592
web,p15,temporal,plus45,5,9.9546,0.4635,4.9889,0.4446
web,p15,spatial,horizontal,5,1.8116,0.0648,0.515,0.0573
web,p15,spatial,vertical,5,2.6297,0.1049,0.4687,0.0936
web,p15,spatial,minus45,5,14.8614,0.5169,5.1381,0.4992
web,p15,spatial,plus45,6,18.6126,0.2178,5.9179,0.2309
web,p16,temporal,horizontal,8,0.6803,0.0132,0.2524,0.0121
web,p16,temporal,vertical,8,1.0335,0.0332,0.5304,0.0309
web,p16,temporal,minus45,8,3.4254,0.0579,1.1649,0.0788
web,p16,temporal,plus45,8,6.0629,0.1087,2.1967,0.0964
web,p16,spatial,horizontal,8,1.1636,0.018,0.3355,0.0162
web,p16,spatial,vertical,10,1.6522,0.0235,0.432,0.0208
web,p16,spatial,minus45,8,8.6577,0.1071,3.3361,0.0966
web,p16,spatial,plus45,8,10.1068,0.3876,6.3804,0.4068
web,p17,temporal,horizontal,4,1.7356,0.1293,1.0558,0.1281
web,p17,temporal,vertical,4,1.5724,0.0797,0.5887,0.0715
web,p17,temporal,minus45,9,11.0488,0.3228,5.8342,0.3241
web,p17,temporal,plus45,6,14.136,0.6125,7.6297,0.7041
web,p17,spatial,horizontal,5,1.3776,0.0931,0.8189,0.0894
web,p17,spatial,vertical,5,1.7009,0.0929,0.9597,0.0898
web,p17,spatial,minus45,4,21.9902,0.6694,7.2637,0.7277
web,p17,spatial,plus45,5,24.0553,0.6027,4.1168,0.6349
web,p18,temporal,horizontal,5,0.7777,0.01,0.2391,0.0121
web,p18,temporal,vertical,5,0.6713,0.0127,0.1677,0.0305
web,p18,temporal,minus45,5,6.3622,0.1828,2.4014,0.1636
web,p18,temporal,plus45,5,8.6318,0.1685,2.6144,0.1491
web,p18,spatial,horizontal,5,1.725,0.0218,0.5147,0.0193
web,p18,spatial,vertical,5,1.331,0.0397,0.4504,0.0354
web,p18,spatial,minus45,5,11.4066,0.3947,6.0906,0.4029
web,p18,spatial,plus45,5,11.5199,0.1502,3.0377,0.1328
web,p2,temporal,horizontal,6,1.0972,0.0433,0.5397,0.0395
web,p2,temporal,vertical,5,1.1123,0.0257,0.334,0.021
web,p2,temporal,minus45,5,5.0688,0.0837,1.3028,0.0604
web,p2,temporal,plus45,5,5.3633,0.0679,1.0864,0.0409
web,p2,spatial,horizontal,5,1.1547,0.0376,0.4136,0.0328
web,p2,spatial,vertical,5,1.5984,0.0744,0.4757,0.066
